epoch,step,train_loss,val_loss
0,32,,0.10370556265115738
1,49,0.0033126187045127153,
1,65,,0.08587589114904404
2,98,,0.10680758953094482
3,99,0.0031648629810661077,
3,131,,0.08385491371154785
4,149,0.0039681377820670605,
4,164,,0.07589099556207657
5,197,,0.05240018293261528
6,199,0.020101848989725113,
6,230,,0.037341129034757614
7,249,0.01317000575363636,
7,263,,0.025912266224622726
8,296,,0.020125068724155426
9,299,0.025967610999941826,
9,329,,0.014019985683262348
10,349,0.02311478555202484,
10,362,,0.009241052903234959
11,395,,0.005776030942797661
12,399,0.030355533584952354,
12,428,,0.0028970546554774046
13,449,0.010431270115077496,
13,461,,0.0011152614606544375
14,494,,0.00037708182935602963
15,499,0.010224551893770695,
15,527,,0.0002884779532905668
16,549,0.005722785834223032,
16,560,,0.0005164739559404552
17,593,,0.0007846007356420159
18,599,0.010982298292219639,
18,626,,0.0009954326087608933
19,649,0.007027273066341877,
19,659,,0.0011278779711574316
20,692,,0.0011988618643954396
21,699,0.0041645243763923645,
21,725,,0.0012288421858102083
22,749,0.002369360998272896,
22,758,,0.0012327729491516948
23,791,,0.001220879377797246
24,799,0.003441975684836507,
24,824,,0.0011995624518021941
25,849,0.00028699307586066425,
25,857,,0.001172796473838389
26,890,,0.0011430076556280255
27,899,0.001181487226858735,
27,923,,0.001111672492697835
28,949,9.833091462496668e-05,
28,956,,0.0010796753922477365
29,989,,0.0010475260205566883
